date,open,close,high,low,volume,amount,code
2012-03-08,3215.54,3241.25,3247.94,3210.95,35415700,40991000000.0,sz399303
2012-03-09,3254.59,3288.33,3288.33,3242.09,37787400,44514000000.0,sz399303
2012-03-12,3292.41,3312.98,3312.98,3283.61,37724600,47427000000.0,sz399303
2012-03-13,3312.22,3345.2,3345.2,3303.04,39612700,49145000000.0,sz399303
2012-03-14,3359.64,3189.98,3374.89,3165.49,62190600,76410000000.0,sz399303
2012-03-15,3191.19,3155.39,3205.08,3101.93,41743600,49772000000.0,sz399303
2012-03-16,3167.59,3233.22,3233.22,3153.36,37421500,45918000000.0,sz399303
2012-03-19,3226.44,3282.49,3282.49,3220.89,36984200,46323000000.0,sz399303
2012-03-20,3263.55,3205.63,3265.04,3205.24,34616500,41383000000.0,sz399303
2012-03-21,3225.64,3211.75,3229.42,3155.81,32603500,39776000000.0,sz399303
2012-03-22,3203.25,3210.41,3229.68,3188.02,29231400,34564000000.0,sz399303
2012-03-23,3186.75,3148.36,3198.32,3134.15,29189100,33707000000.0,sz399303
2012-03-26,3140.08,3143.09,3155.29,3118.65,22794700,26946000000.0,sz399303
2012-03-27,3162.17,3137.38,3171.62,3132.23,25390400,29745000000.0,sz399303
2012-03-28,3115.44,2990.83,3115.44,2983.31,32486100,36218000000.0,sz399303
2012-03-29,2964.11,2933.8,2978.19,2901.7,27549000,29089000000.0,sz399303
2012-03-30,2936.73,2916.53,2945.46,2892.35,24343000,25101000000.0,sz399303
2012-04-05,2918.57,3008.64,3008.64,2910.89,27186200,29488000000.0,sz399303
2012-04-06,3001.91,3033.79,3039.51,3000.06,27627500,30273000000.0,sz399303
2012-04-09,3016.13,3002.71,3040.7,3002.46,24729900,26274000000.0,sz399303
2012-04-10,2983.51,3034.45,3034.45,2932.74,28633300,29471000000.0,sz399303
2012-04-11,2987.6,3048.33,3055.59,2986.66,31044800,31677000000.0,sz399303
2012-04-12,3053.05,3109.67,3109.67,3045.9,38684200,39931000000.0,sz399303
2012-04-13,3116.6,3132.95,3147.79,3111.19,41698900,42338000000.0,sz399303
2012-04-16,3101.71,3136.21,3148.99,3101.71,36050200,35608000000.0,sz399303
2012-04-17,3127.24,3092.37,3142.75,3090.66,36369800,35726000000.0,sz399303
2012-04-18,3102.55,3158.34,3160.64,3093.51,39933300,40754000000.0,sz399303
2012-04-19,3153.97,3157.67,3169.59,3140.58,35734200,38225000000.0,sz399303
2012-04-20,3147.53,3180.55,3183.1,3139.9,38738400,40734000000.0,sz399303
2012-04-23,3169.37,3112.49,3173.02,3099.2,42211500,44849000000.0,sz399303
2012-04-24,3071.53,3073.89,3116.1,2987.45,43936100,44807000000.0,sz399303
2012-04-25,3058.45,3112.7,3119.19,3055.7,43667200,43059000000.0,sz399303
2012-04-26,3116.16,3095.92,3118.65,3082.83,40321500,39397000000.0,sz399303
2012-04-27,3086.79,3078.8,3097.51,3072.22,28708400,28918000000.0,sz399303
2012-05-02,3115.15,3111.64,3120.41,3081.4,35701000,37176000000.0,sz399303
2012-05-03,3103.54,3127.05,3127.05,3098.13,31890000,34393000000.0,sz399303
2012-05-04,3124.56,3156.96,3157.46,3119.56,35652500,38420000000.0,sz399303
2012-05-07,3137.65,3188.3,3188.3,3137.65,34917700,39355000000.0,sz399303
